"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"RSM00026072","PETROKREPOST, RS","2023-01-01","0.04","35","39",
"RSM00026072","PETROKREPOST, RS","2023-01-02","0.00","29","31",
"RSM00026072","PETROKREPOST, RS","2023-01-03","0.04","27","29","26"
"RSM00026072","PETROKREPOST, RS","2023-01-04","0.12","23",,
"RSM00026072","PETROKREPOST, RS","2023-01-05","0.09","10",,
"RSM00026072","PETROKREPOST, RS","2023-01-06","0.02","9","17","-4"
"RSM00026072","PETROKREPOST, RS","2023-01-07","0.01","13","18",
"RSM00026072","PETROKREPOST, RS","2023-01-08","0.00","3","8","-4"
"RSM00026072","PETROKREPOST, RS","2023-01-09","0.00","12","13","4"
"RSM00026072","PETROKREPOST, RS","2023-01-10","0.08","18",,"12"
"RSM00026072","PETROKREPOST, RS","2023-01-11","0.00","26",,"22"
"RSM00026072","PETROKREPOST, RS","2023-01-12","0.12","24","26","23"
"RSM00026072","PETROKREPOST, RS","2023-01-13","0.15","32","35","25"
"RSM00026072","PETROKREPOST, RS","2023-01-14","0.16","34",,"32"
"RSM00026072","PETROKREPOST, RS","2023-01-15","0.08","35",,"33"
"RSM00026072","PETROKREPOST, RS","2023-01-16","0.16","35","36","33"
"RSM00026072","PETROKREPOST, RS","2023-01-17","0.00","33",,
"RSM00026072","PETROKREPOST, RS","2023-01-18","0.16","34","36","31"
"RSM00026072","PETROKREPOST, RS","2023-01-19","0.43","35","40","32"
"RSM00026072","PETROKREPOST, RS","2023-01-20","0.02","31","33","29"
"RSM00026072","PETROKREPOST, RS","2023-01-21","0.00","24","32",
"RSM00026072","PETROKREPOST, RS","2023-01-22","0.02","25",,"17"
"RSM00026072","PETROKREPOST, RS","2023-01-23","0.00","23","25","21"
"RSM00026072","PETROKREPOST, RS","2023-01-24","0.08","26",,"18"
"RSM00026072","PETROKREPOST, RS","2023-01-25","0.02","33",,"29"
"RSM00026072","PETROKREPOST, RS","2023-01-26","0.14","34",,
"RSM00026072","PETROKREPOST, RS","2023-01-27","0.01","28",,
"RSM00026072","PETROKREPOST, RS","2023-01-28","0.00","23",,"23"
"RSM00026072","PETROKREPOST, RS","2023-01-29","0.08","30","35","22"
"RSM00026072","PETROKREPOST, RS","2023-01-30","0.31","33",,"31"
"RSM00026072","PETROKREPOST, RS","2023-01-31","0.03","32",,
"RSM00026072","PETROKREPOST, RS","2023-02-01","0.08","31","32","30"
"RSM00026072","PETROKREPOST, RS","2023-02-02","0.04","30","31",
"RSM00026072","PETROKREPOST, RS","2023-02-03","0.01","27","29",
"RSM00026072","PETROKREPOST, RS","2023-02-04","0.06","27","29","25"
"RSM00026072","PETROKREPOST, RS","2023-02-05","0.00","22",,
"RSM00026072","PETROKREPOST, RS","2023-02-06","0.02","27","30","20"
"RSM00026072","PETROKREPOST, RS","2023-02-07","0.00","27","29","26"
"RSM00026072","PETROKREPOST, RS","2023-02-08","0.05","31",,"28"
"RSM00026072","PETROKREPOST, RS","2023-02-09","0.01","33","36",
"RSM00026072","PETROKREPOST, RS","2023-02-10","0.16","30","33","28"
"RSM00026072","PETROKREPOST, RS","2023-02-11","0.12","25","29",
"RSM00026072","PETROKREPOST, RS","2023-02-12","0.03","24",,"13"
"RSM00026072","PETROKREPOST, RS","2023-02-13","0.02","34","37","28"
"RSM00026072","PETROKREPOST, RS","2023-02-14","0.00","32","36",
"RSM00026072","PETROKREPOST, RS","2023-02-15","0.00","32","37","25"
"RSM00026072","PETROKREPOST, RS","2023-02-16","0.00","29","32",
